produk,tanggal,harga,qty,ln_P,ln_Q
L,2021-12-23,1800.0,90,7.495541943884256,4.499809670330265
L,2021-12-24,1800.0,130,7.495541943884256,4.867534450455582
L,2021-12-25,1800.0,90,7.495541943884256,4.499809670330265
L,2021-12-27,1800.0,140,7.495541943884256,4.941642422609304
L,2021-12-28,1800.0,120,7.495541943884256,4.787491742782046
L,2021-12-29,1800.0,80,7.495541943884256,4.382026634673881
L,2021-12-30,1800.0,100,7.495541943884256,4.605170185988092
L,2021-12-31,1800.0,120,7.495541943884256,4.787491742782046
L,2022-01-03,1750.0,130,7.4673710669175595,4.867534450455582
L,2022-01-04,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-01-05,1750.0,140,7.4673710669175595,4.941642422609304
L,2022-01-06,1750.0,50,7.4673710669175595,3.912023005428146
L,2022-01-07,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-01-08,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-01-10,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-01-11,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-01-12,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-01-13,1750.0,210,7.4673710669175595,5.3471075307174685
L,2022-01-14,1750.0,50,7.4673710669175595,3.912023005428146
L,2022-01-17,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-01-18,1750.0,60,7.4673710669175595,4.0943445622221
L,2022-01-19,1750.0,160,7.4673710669175595,5.075173815233827
L,2022-01-20,1750.0,200,7.4673710669175595,5.298317366548036
L,2022-01-21,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-01-22,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-01-24,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-01-25,1750.0,140,7.4673710669175595,4.941642422609304
L,2022-01-26,1750.0,130,7.4673710669175595,4.867534450455582
L,2022-01-27,1750.0,70,7.4673710669175595,4.248495242049359
L,2022-01-28,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-01-30,1750.0,140,7.4673710669175595,4.941642422609304
L,2022-01-31,1750.0,80,7.4673710669175595,4.382026634673881
L,2022-02-01,1750.0,110,7.4673710669175595,4.700480365792417
L,2022-02-02,1750.0,140,7.4673710669175595,4.941642422609304
L,2022-02-04,1750.0,140,7.4673710669175595,4.941642422609304
L,2022-02-05,1750.0,100,7.4673710669175595,4.605170185988092
L,2022-02-07,1750.0,120,7.4673710669175595,4.787491742782046
L,2022-02-09,1750.0,150,7.4673710669175595,5.0106352940962555
L,2022-02-10,1750.0,160,7.4673710669175595,5.075173815233827
L,2022-02-11,1750.0,110,7.4673710669175595,4.700480365792417
